,Numéro d'autorisation,Nom,Adresse,Code Postal,Commune,X,Y
0,923702,Pharmacie Demars,Rue D'anthee 58 ,5644,Mettet,674963,609546.375
1,123502,Keustermans,Kapelstraat 30 ,2223,Heist-op-den-berg,673917,689533
2,263209,Bulteel,Torsinplaats 20 ,3300,Tienen,690256.125,666107.625
3,430401,Franck M.,Noordstraat 1 ,9961,Assenede,604599.6875,716691.75
4,461401,De Causmaecker,Markt 42 ,9160,Lokeren,623537.4375,699425.75
5,626308,Humanpharma Tintigny,Rue De France 50 ,6730,Tintigny,732604.625,541921.125
6,613110,Verschure,Rue Rene Dubois 7 ,4500,Huy,710492.625,635674.625
7,246003,America Isabel,Gendarmerieplein 3 ,3400,Landen,700256.25,660746.125
8,450202,Apotheek Greet Vanmeirhaeghe,Pontstraat 53 ,9690,Kluisbergen,590131.6875,665179.3125
9,411405,Apotheek D'haese Erembodegem,Geraardsbergsesteenweg 63 ,9320,Aalst,626115.1875,677917.5625
10,422001,Bostoen Hans,Dorpstraat 82 ,9260,Wichelen,618954.0625,686698.8125
11,420203,Brielfarma,Provinciale Baan 127 ,9200,Dendermonde,637193.8125,691127.875
12,235104,De Knop Rosette,Kapellelaan 342 ,1860,Meise,648182.0625,683131.0625
13,124203,Vanderhasselt-pharma,Overwinningsstraat 6 ,2830,Willebroek,649375.375,694403.125
14,521406,Maral Pharma Srl,Rue De Taillis-pré 421 ,6200,Châtelet,660357.125,625670.5625
15,625110,Pharmacie Jacques Penelle,Place Jean Jaures 8 ,4040,Herstal,739133.6875,651367.8125
16,625001,Janssen,Voie De Messe 19 ,4680,Oupeye,738354.6875,656367.5
17,412901,Apotheek Coppens,Steenweg Op Aalst 4 ,9308,Aalst,626289.4375,683441.1875
18,410229,Debonnet Carine,Raffelgemstraat 15 ,9300,Aalst,625277.125,681418.625
19,522304,Deschamps,Rue Louis Delattre 15 ,6140,Fontaine-l'evêque,646922.1875,621903.625
20,422805,Apotheek Bourgeois,Kouterstraat 49 ,9240,Zele,626373.4375,695121.9375
21,521501,Pharmacie Sterck,Route De Chatelet 251 ,6010,Charleroi,656838.125,620154.6875
