X,Y,CODEPOSTAL,ZONE_ADRES,RUE_NOM,NUMERO,geometry,index_right,NUMERO_SORT_KEY
137284.791,134333.919,7100,Besonrieux,Avenue des Fougères,1,POINT (4.189447229198681 50.51964059718777),0,"('', 1, '')"
137282.982,134379.084,7100,Besonrieux,Avenue des Fougères,2,POINT (4.18942018783239 50.52004659843616),0,"('', 2, '')"
137279.291,134329.58,7100,Besonrieux,Avenue des Fougères,3,POINT (4.189369819909813 50.51960146992839),0,"('', 3, '')"
137282.186,134386.488,7100,Besonrieux,Avenue des Fougères,4,POINT (4.189408711975443 50.520113144326714),0,"('', 4, '')"
137269.014,134321.282,7100,Besonrieux,Avenue des Fougères,5,POINT (4.18922518394401 50.519526647169734),0,"('', 5, '')"
137281.227,134406.23,7100,Besonrieux,Avenue des Fougères,6,POINT (4.189394518909392 50.520290607220126),0,"('', 6, '')"
137263.502,134316.985,7100,Besonrieux,Avenue des Fougères,7,POINT (4.189147604384176 50.519487897088574),0,"('', 7, '')"
137283.978,134412.807,7100,Besonrieux,Avenue des Fougères,8,POINT (4.189433088688095 50.520349794974344),0,"('', 8, '')"
137254.896,134307.666,7100,Besonrieux,Avenue des Fougères,9,POINT (4.18902656680569 50.51940393132891),0,"('', 9, '')"
137286.019,134419.781,7100,Besonrieux,Avenue des Fougères,10,POINT (4.189461633090342 50.5204125364532),0,"('', 10, '')"
137249.416,134303.265,7100,Besonrieux,Avenue des Fougères,11,POINT (4.188949442382651 50.51936424683231),0,"('', 11, '')"
137288.806,134426.194,7100,Besonrieux,Avenue des Fougères,12,POINT (4.189500716265654 50.52047025057688),0,"('', 12, '')"
137232.809,134290.022,7100,Besonrieux,Avenue des Fougères,13,POINT (4.188715716372952 50.51924482980177),0,"('', 13, '')"
137290.564,134432.804,7100,Besonrieux,Avenue des Fougères,14,POINT (4.189525282460828 50.520529713503954),0,"('', 14, '')"
137227.345,134285.606,7100,Besonrieux,Avenue des Fougères,15,POINT (4.188638818597777 50.51920501059344),0,"('', 15, '')"
137293.217,134439.146,7100,Besonrieux,Avenue des Fougères,16,POINT (4.189562478620295 50.52058678640799),0,"('', 16, '')"
137210.96,134272.661,7100,Besonrieux,Avenue des Fougères,17,POINT (4.1884082144175965 50.51908827683186),0,"('', 17, '')"
137295.371,134446.536,7100,Besonrieux,Avenue des Fougères,18,POINT (4.189592602704948 50.5206532701985),0,"('', 18, '')"
137205.376,134268.234,7100,Besonrieux,Avenue des Fougères,19,POINT (4.188329625409386 50.51904835591624),0,"('', 19, '')"
137298.187,134453.138,7100,Besonrieux,Avenue des Fougères,20,POINT (4.189632088777679 50.52071268404141),0,"('', 20, '')"
137194.079,134261.623,7100,Besonrieux,Avenue des Fougères,21,POINT (4.188170552133513 50.51898867603639),0,"('', 21, '')"
137188.477,134257.216,7100,Besonrieux,Avenue des Fougères,23,POINT (4.188091708989809 50.518948934370584),0,"('', 23, '')"
137178.641,134249.278,7100,Besonrieux,Avenue des Fougères,25,POINT (4.187953283247404 50.5188773560897),0,"('', 25, '')"
